UniProt1	UniProt2	symbol1	symbol2	evidence type
O00231	O43741	PSMD11	PRKAB2	exp
O43741	O43741	PRKAB2	PRKAB2	exp
O14654	O43765	IRS4	SGTA	exp
O00487	O43765	PSMD14	SGTA	exp
O00232	O43765	PSMD12	SGTA	exp
O14810	O43765	CPLX1	SGTA	exp
O43765	O43765	SGTA	SGTA	exp;ortho
O14793	O43765	MSTN	SGTA	exp;pred
O43791	O43791	SPOP	SPOP	exp
O15379	O43809	HDAC3	NUDT21	exp
B5ME19	O43809	EIF3CL	NUDT21	exp
O14576	O43809	DYNC1I1	NUDT21	exp
O43809	O43809	NUDT21	NUDT21	exp;ortho
O43318	O43809	MAP3K7	NUDT21	exp;pred
O14829	O43819	PPEF1	SCO2	exp
O00483	O43819	NDUFA4	SCO2	exp
O15400	O43819	STX7	SCO2	exp
O15078	O43822	CEP290	C21orf2	exp
O00244	O43822	ATOX1	C21orf2	exp
O14980	O43822	XPO1	C21orf2	exp
O15379	O43823	HDAC3	AKAP8	exp;pred
O00716	O43823	E2F3	AKAP8	exp
O43638	O43823	FOXS1	AKAP8	exp
O14829	O43823	PPEF1	AKAP8	exp
O15259	O43837	NPHP1	IDH3B	exp
O14974	O43847	PPP1R12A	NRDC	exp
O00505	O43847	KPNA3	NRDC	exp
O43847	O43847	NRDC	NRDC	exp
O15379	O43847	HDAC3	NRDC	exp
O00746	O43847	NME4	NRDC	exp
O14965	O43852	AURKA	CALU	exp
O43542	O43852	XRCC3	CALU	exp
O14829	O43852	PPEF1	CALU	exp
O14744	O43852	PRMT5	CALU	exp
O14654	O43852	IRS4	CALU	exp
O43865	O43865	AHCYL1	AHCYL1	exp;pred
O00762	O43865	UBE2C	AHCYL1	exp
O00232	O43865	PSMD12	AHCYL1	exp
O00233	O43865	PSMD9	AHCYL1	exp
O14964	O43865	HGS	AHCYL1	exp
O15355	O43865	PPM1G	AHCYL1	exp
O14980	O43865	XPO1	AHCYL1	exp
O14978	O43865	ZNF263	AHCYL1	exp
A0MZ66	O43865	SHTN1	AHCYL1	exp
O43765	O43865	SGTA	AHCYL1	exp
O15400	O43889	STX7	CREB3	exp
O15294	O43889	OGT	CREB3	exp
O15382	O43889	BCAT2	CREB3	exp
O43889	O43889	CREB3	CREB3	exp
O15379	O43889	HDAC3	CREB3	exp
O43896	O43896	KIF1C	KIF1C	exp;pred
O14980	O43900	XPO1	PRICKLE3	exp
O00483	O43920	NDUFA4	NDUFS5	exp;pred
O43181	O43920	NDUFS4	NDUFS5	exp;pred
O43678	O43920	NDUFA2	NDUFS5	exp;pred
O43293	O60216	DAPK3	RAD21	exp
O15371	O60216	EIF3D	RAD21	exp
O00571	O60216	DDX3X	RAD21	exp
O15297	O60216	PPM1D	RAD21	exp
O00303	O60216	EIF3F	RAD21	exp
C9JRZ8	O60218	AKR1B15	AKR1B10	exp
A9UHW6	O60231	MIF4GD	DHX16	exp
O14980	O60231	XPO1	DHX16	exp
O60238	O60238	BNIP3L	BNIP3L	exp
O14936	O60238	CASK	BNIP3L	exp
A0A0C4ZLG8	O60244	TRA	MED14	exp
O15392	O60244	BIRC5	MED14	exp
O43513	O60244	MED7	MED14	exp;ortho;pred
O00148	O60245	DDX39A	PCDH7	exp
O00571	O60260	DDX3X	PRKN	exp
O43242	O60260	PSMD3	PRKN	exp
O00429	O60260	DNM1L	PRKN	exp;pred
O14867	O60260	BACH1	PRKN	exp
O14818	O60260	PSMA7	PRKN	exp;pred
O43290	O60260	SART1	PRKN	exp
O00231	O60260	PSMD11	PRKN	exp
O43852	O60260	CALU	PRKN	exp
O43181	O60260	NDUFS4	PRKN	exp
O00232	O60260	PSMD12	PRKN	exp;pred
O14936	O60260	CASK	PRKN	exp;ortho;pred
O15392	O60260	BIRC5	PRKN	exp
O15354	O60260	GPR37	PRKN	exp;pred
O00487	O60260	PSMD14	PRKN	exp
O60260	O60260	PRKN	PRKN	exp;ortho;pred
O14965	O60260	AURKA	PRKN	exp
O00233	O60260	PSMD9	PRKN	exp
O60264	O60264	SMARCA5	SMARCA5	exp
O43638	O60264	FOXS1	SMARCA5	exp
O60216	O60264	RAD21	SMARCA5	exp;pred
O00159	O60264	MYO1C	SMARCA5	exp;pred
O14974	O60285	PPP1R12A	NUAK1	exp
O43896	O60307	KIF1C	MAST3	exp
O43741	O60307	PRKAB2	MAST3	exp
O00743	O60307	PPP6C	MAST3	exp
O43852	O60307	CALU	MAST3	exp
O14908	O60333	GIPC1	KIF1B	exp;ortho;pred
O43504	O60333	LAMTOR5	KIF1B	exp
O60307	O60333	MAST3	KIF1B	exp
